angle, throttle, time = 0, 20, 3
time, x, y, z
(0.000186920166015625,-6.201,-8.749,21.855)
(0.032891035079956055,-7.915,-8.783,21.854)
(0.0655069351196289,-7.926,-8.815,21.842)
(0.09863996505737305,-7.946,-8.848,21.845)
(0.13072562217712402,-7.963,-8.867,21.893)
(0.16266226768493652,-7.973,-8.886,21.98)
(0.1943213939666748,-7.98,-8.893,22.104)
(0.22589111328125,-7.983,-8.895,22.254)
(0.2578604221343994,-7.99,-8.893,22.453)
(0.2900209426879883,-7.999,-8.885,22.692)
(0.3228747844696045,-8.004,-8.867,23.0)
(0.356370210647583,-8.003,-8.841,23.307)
(0.38953328132629395,-7.998,-8.807,23.647)
(0.42160511016845703,-7.987,-8.768,24.008)
(0.4541494846343994,-7.973,-8.729,24.421)
(0.4866790771484375,-7.962,-8.689,24.837)
(0.518829345703125,-7.95,-8.651,25.135)
(0.5516414642333984,-7.937,-8.61,25.779)
(0.5854635238647461,-7.921,-8.568,26.29)
(0.6186602115631104,-7.903,-8.545,26.814)
(0.6516664028167725,-7.891,-8.502,27.352)
(0.6841456890106201,-7.882,-8.47,27.87)
(0.7173800468444824,-7.874,-8.441,28.25)
(0.7508499622344971,-7.878,-8.412,28.937)
(0.7849454879760742,-7.891,-8.379,29.528)
(0.8175816535949707,-7.901,-8.344,30.064)
(0.8503129482269287,-7.909,-8.312,30.587)
(0.8823604583740234,-7.92,-8.276,31.101)
(0.9142379760742188,-7.945,-8.244,31.581)
(0.9472541809082031,-7.973,-8.216,32.099)
(0.9797399044036865,-8.011,-8.183,32.61)
(1.0121760368347168,-8.052,-8.151,33.119)
(1.0445456504821777,-8.104,-8.124,33.604)
(1.0764634609222412,-8.158,-8.105,34.159)
(1.1092405319213867,-8.215,-8.086,34.654)
(1.141068458557129,-8.265,-8.073,35.195)
(1.174121618270874,-8.324,-8.065,35.725)
(1.2066586017608643,-8.383,-8.061,36.266)
(1.2395942211151123,-8.429,-8.056,36.785)
(1.2721211910247803,-8.47,-8.055,37.301)
(1.3044488430023193,-8.507,-8.058,37.792)
(1.336815595626831,-8.527,-8.058,38.315)
(1.3691341876983643,-8.571,-8.057,38.818)
(1.4017045497894287,-8.6,-8.056,39.344)
(1.4336812496185303,-8.638,-8.051,39.846)
(1.4665014743804932,-8.677,-8.048,40.381)
(1.4993057250976562,-8.723,-8.049,40.948)
(1.5316109657287598,-8.774,-8.053,41.469)
(1.5655434131622314,-8.827,-8.058,42.029)
(1.5982599258422852,-8.881,-8.061,42.599)
(1.6304125785827637,-8.935,-8.064,43.177)
(1.6635174751281738,-8.972,-8.068,43.662)
(1.6964139938354492,-9.003,-8.069,44.202)
(1.7297117710113525,-9.023,-8.077,44.693)
(1.7626383304595947,-9.044,-8.103,45.237)
(1.7958154678344727,-9.071,-8.142,45.732)
(1.829125165939331,-9.105,-8.19,46.258)
(1.8625032901763916,-9.14,-8.253,46.742)
(1.8944602012634277,-9.16,-8.306,47.297)
(1.9270045757293701,-9.157,-8.339,47.825)
(1.9598314762115479,-9.125,-8.412,48.369)
(1.9923675060272217,-9.07,-8.457,48.871)
(2.025275230407715,-9.003,-8.489,49.41)
(2.0582849979400635,-8.927,-8.499,49.945)
(2.091423988342285,-8.838,-8.494,50.453)
(2.1235439777374268,-8.746,-8.489,50.955)
(2.155808925628662,-8.641,-8.486,51.459)
(2.188258171081543,-8.505,-8.479,51.968)
(2.220844030380249,-8.368,-8.468,52.528)
(2.2538387775421143,-8.213,-8.457,53.065)
(2.2879674434661865,-8.059,-8.45,53.592)
(2.3206536769866943,-7.916,-8.446,53.969)
(2.35272479057312,-7.79,-8.445,54.698)
(2.385579824447632,-7.671,-8.445,55.209)
(2.4191482067108154,-7.55,-8.45,55.792)
(2.452164649963379,-7.44,-8.462,56.418)
(2.4846436977386475,-7.349,-8.482,57.02)
(2.5173823833465576,-7.279,-8.507,57.401)
(2.5510683059692383,-7.227,-8.524,58.208)
(2.5837576389312744,-7.184,-8.557,58.759)
(2.616316318511963,-7.128,-8.582,59.318)
(2.648184299468994,-7.07,-8.596,59.95)
(2.681638240814209,-7.008,-8.602,60.547)
(2.714805841445923,-6.93,-8.628,61.087)
(2.7491085529327393,-6.865,-8.644,61.674)
(2.782893657684326,-6.794,-8.65,62.254)
(2.8162477016448975,-6.721,-8.652,62.843)
(2.849811553955078,-6.652,-8.648,63.467)
(2.883693218231201,-6.575,-8.648,64.039)
(2.9172964096069336,-6.487,-8.655,64.596)
(2.951899528503418,-6.421,-8.665,65.178)
(2.9850966930389404,-6.378,-8.694,65.749)
(3.0195181369781494,-6.361,-8.741,66.33)

